edge_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,record_count,scheduled,abs_median_deviation,relative_deviation_factor,flow
9022003779177/9022003779553,Petterslund (Uppsala),Lindsbro,60.012673,17.311736,60.008082,17.329312,16,98,-8,0.916,0.6661818181818182
9022003760399/9022003760380,Smedsbo (Tierp),Pilbo (Tierp),60.334692,17.412466,60.348565,17.350705,18,330,100,0.814,0.666
9022003779494/9022003780362,Örtorpet,Bragby (Uppsala),59.781614,17.417916,59.789164,17.431746,18,70,2,0.814,0.666
9022003779460/9022003779479,Bärby ungdomshem,Funbo Prästgård,59.865162,17.826612,59.862372,17.850293,17,254,-41,0.861,0.6653181818181818
9022003782045/9022003782367,Hantverksvägen (Östhammar),Ulrikeberg (Östhammar),60.258442,18.357763,60.259734,18.359201,18,26,5,0.813,0.6651818181818182
9022003780035/9022003780464,Norrbo (Järlåsa.) (Uppsala),Johanneslund (Uppsala),59.867044,17.193215,59.877781,17.196555,17,74,9,0.86,0.6645454545454546
9022003782322/9022003782391,Bro (Österbybruk) (Östhammar),Mariebol (Östhammar),60.236064,17.922374,60.278176,17.964001,16,295,28,0.913,0.664
9022003782423/9022003782426,Gråboviken (Östhammar),Sund (Östhammar),60.31918,18.307284,60.31873,18.333881,17,115,-19,0.859,0.6637727272727273
9022003781107/9022003781102,Kungs-Husby vägskäl (Lillkyrka) (Enköpin,Vålhammar (Enköping),59.548804,17.215406,59.543774,17.225592,17,55,-9,0.859,0.6637727272727273
9022003782097/9022003782098,Järnboden (Harg) (Östhammar),Träsket (Hargshamn) (Östhammar),60.173947,18.43192,60.170254,18.443358,16,31,3,0.912,0.6632727272727273
9022003730104/9022003780335,Vreta Husby-Långhundra,Hagsta (Knivsta),59.769952,18.04235,59.768347,18.041673,28,267,-237,0.521,0.6630909090909091
9022003780128/9022003780478,Almunge skola (Uppsala),Vreta (Almunge) (Uppsala),59.867099,18.071192,59.875897,18.073951,26,73,65,0.561,0.6630000000000001
9022003779146/9022003779153,Ulva kvarn (Uppsala),Forkarby vägskäl (Uppsala),59.913436,17.575141,59.928447,17.566407,17,151,25,0.858,0.6629999999999999
9022003780221/9022003780997,Ladubo vägskäl (Uppsala),Gråmyren (Uppsala),60.106888,17.399868,60.140657,17.370792,16,336,20,0.911,0.6625454545454545
9022003782389/9022003782349,Karö vägskäl (Östhammar),Forsmarks kvarn (Östhammar),60.342346,18.126605,60.368873,18.151989,18,298,-70,0.808,0.6610909090909092
9022003779645/9022003779077,Villinge,Falebro (Uppsala),59.834725,17.723968,59.824282,17.732622,17,360,6,0.855,0.6606818181818181
9022003730015/9022003780031,Sättragatan (Alsike) (Knivsta),Lärkdrillsvägen (Alsike) (Knivsta),59.756849,17.7778,59.760977,17.764143,22,165,-85,0.66,0.66
9022003760350/9022003760034,Östermalm (Söderfors) (Tierp),Habia Cable (Söderfors) (Tierp),60.380424,17.254912,60.378937,17.259579,31,29,33,0.468,0.6594545454545455
9022003779531/9022003780933,Ströbylund norra,Ströbylund södra (Uppsala),59.863589,17.52167,59.861346,17.520805,29,40,-40,0.5,0.6590909090909091
9022003780902/9022003779499,Frövi vägskäl (Uppsala),Kvarnberg (Balingsta),59.752401,17.400158,59.754632,17.396866,29,19,-19,0.5,0.6590909090909091
9022003780487/9022003780911,Stjärnhult (Järlåsa) (Uppsala),Homrom vägskäl (Uppsala),59.893913,17.14279,59.891267,17.14079,29,27,-27,0.5,0.6590909090909091
9022003760200/9022003760204,Sikhjälma vägskäl (Tierp),Lingnåre (Tierp),60.533118,17.83562,60.532211,17.853893,19,48,-6,0.763,0.6589545454545455
9022003780134/9022003799010,Marielunds gård (Uppsala),Funbo Sommarro,59.838542,17.869919,59.853023,17.857983,17,201,0,0.852,0.6583636363636364
9022003779524/9022003779646,Bryggarbo,Ön (Järlåsa),59.938429,17.217824,59.940666,17.256584,17,349,-62,0.849,0.6560454545454545
9022003780583/9022003780893,Blacksta (Uppsala),Dalkarlsbo (inre vägen) (Uppsala),59.955884,17.401812,59.967569,17.369121,22,166,87,0.656,0.656
9022003760355/9022003760368,Halsingsbo (Tierp),Pilbo bryggeri (Tierp),60.337777,17.368268,60.34623,17.35851,19,104,-13,0.759,0.6555
9022003780776/9022003780953,Askarbäck (Uppsala),Åkerlänna skola (Uppsala),60.033822,17.358416,60.025323,17.37043,16,326,-36,0.901,0.6552727272727273
9022003780534/9022003779559,Skulla (Uppsala),Storhagen (Jumkil),59.927123,17.407531,59.929683,17.408173,17,28,5,0.848,0.6552727272727272
9022003781020/9022003781002,Östra Ringgatan (Enköping),Gustav Adolfs plan (Enköping),59.635112,17.084089,59.636758,17.075465,17,300,0,0.847,0.6545
9022003782131/9022003782049,Skoby vägskäl (Östhammar),Spånga by (Alunda) (Östhammar),60.03505,18.03665,60.03747,18.032111,17,61,11,0.847,0.6545
9022003782427/9022003782414,Botarsbo (Östhammar),Vigelsbo (Östhammar),60.291366,18.023924,60.290053,17.99922,17,77,14,0.846,0.6537272727272727
9022003780636/9022003780649,Blackbo (Siggefora) (Uppsala),Östfora (Uppsala),59.98054,17.155112,59.984457,17.190438,17,169,-25,0.845,0.6529545454545455
9022003779418/9022003780927,Gråmunkehöga norra,Gråmunkehöga (Uppsala),59.88158,17.837969,59.872398,17.83014,17,120,0,0.845,0.6529545454545455
9022003779179/9022003780867,Smedskullen (Uppsala),Skuttunge skola (Uppsala),60.019521,17.392431,59.999561,17.511606,16,778,-89,0.897,0.6523636363636364
9022003779466/9022003780556,Agersta gård,Kättslinge (Uppsala),59.939268,17.455745,59.941274,17.43958,17,151,4,0.844,0.6521818181818182
9022003781015/9022003781293,Vånsjöbro (Enköping),Lilla Härnevi (Enköping),59.734292,17.096016,59.721954,17.095452,16,95,-11,0.896,0.6516363636363637
9022003780654/9022003780647,Valhammar vägskäl (Uppsala),Kyrsta (Uppsala),59.981711,17.63391,59.978345,17.64741,16,69,8,0.896,0.6516363636363637
9022003780235/9022003730125,Noor (Knivsta),Knivsta Kolonivägen,59.71795,17.826472,59.715181,17.812637,15,128,-6,0.955,0.6511363636363635
9022003780869/9022003780444,Funbo skolslinga (Uppsala),Funbo kyrka (Uppsala),59.856652,17.853834,59.855112,17.858737,31,50,56,0.462,0.651
9022003782170/9022003782176,Mysslinge affär (Östhammar),Kilby (Östhammar),60.101447,18.077932,60.112892,18.075536,16,94,-7,0.895,0.650909090909091
9022003780081/9022003780082,Nylunda (Uppsala),Sisselkulla (Uppsala),59.74625,17.512521,59.743941,17.503652,17,85,-16,0.842,0.6506363636363636
9022003730060/9022003730037,Alsike kloster (Knivsta),Skålsta (Knivsta),59.733901,17.687069,59.692165,17.73501,15,414,-20,0.954,0.6504545454545454
9022003780464/9022003780479,Johanneslund (Uppsala),Järlåsa skola (Uppsala),59.877781,17.196555,59.887805,17.200332,17,199,-38,0.84,0.649090909090909
9022003782253/9022003782097,Tegelbruket (Harg) (Östhammar),Järnboden (Harg) (Östhammar),60.175545,18.417428,60.173947,18.43192,16,33,4,0.892,0.6487272727272727
9022003780152/9022003779453,Sätuna (Uppsala),Nävervägen skol (Björklinge) (Uppsala),60.060158,17.569198,60.03602,17.554758,17,208,-38,0.839,0.6483181818181818
9022003780862/9022003779634,Grytbäcken (Uppsala),Hjorttorp,60.053391,17.719494,60.060673,17.720688,17,172,33,0.839,0.6483181818181818
9022003782395/9022003782082,Norrby (Vamsta) (Östhammar),Forsmarks bruk (Östhammar),60.339032,18.116316,60.369667,18.164448,16,351,-43,0.891,0.648
9022003760247/9022003760249,Munga skola (Tierp),Munga (Tierp),60.306861,17.414157,60.309976,17.411144,19,41,0,0.75,0.6477272727272727
9022003780612/9022003780161,Rönningen (Uppsala),Hedtorp (Uppsala),59.969268,17.21414,59.962455,17.215785,17,62,-12,0.838,0.6475454545454545
9022003780896/9022003780612,Granhammar (Uppsala),Rönningen (Uppsala),59.9729,17.209513,59.969268,17.21414,17,41,-8,0.837,0.6467727272727273
9022003780816/9022003780866,Fornborgen (Uppsala),Salsta maskinhall (Uppsala),60.056168,17.753108,60.051589,17.740935,17,164,-32,0.837,0.6467727272727273
