edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,Record Count,delay,delay / travel time
9022003780425/9022003780426,9022003780425,9022003780426,Vänge Ekeby (Uppsala),Stora Almby (Vänge) (Uppsala),59.85123,17.453134,59.851227,17.474119,964,-11,-0.16176470588235295
9022003780428/9022003780427,9022003780428,9022003780427,Nåstuna (Vänge) (Uppsala),Ängsbacka (Vänge) (Uppsala),59.851432,17.481268,59.851034,17.497629,964,-10,-0.19607843137254902
9022003191701/9022003191702,9022003191701,9022003191702,Rotebro station (Sollentuna),Norrviken station (Sollentuna),59.47662,17.91428,59.458372,17.924415,964,0,0
9022003780426/9022003780428,9022003780426,9022003780428,Stora Almby (Vänge) (Uppsala),Nåstuna (Vänge) (Uppsala),59.851227,17.474119,59.851432,17.481268,964,-7,-0.30434782608695654
9022003781012/9022003781171,9022003781012,9022003781171,Fagerudd vägskäl (Enköping),Idrottshuset (Enköping),59.627315,17.092886,59.63151,17.08709,964,-20,-0.3392857142857143
9022003780438/9022003780436,9022003780438,9022003780436,Bärby (Vänge) (Uppsala),Långtibble (Vänge) (Uppsala),59.859573,17.402623,59.858684,17.417413,958,0,0
9022003780434/9022003780438,9022003780434,9022003780438,Åltomtabro (Vänge) (Uppsala),Bärby (Vänge) (Uppsala),59.858545,17.37689,59.859573,17.402623,958,-1,-0.01282051282051282
9022003780457/9022003780454,9022003780457,9022003780454,Persbo (Uppsala),Klockartorp (Uppsala),59.871335,17.305449,59.869581,17.314457,958,0,0
9022003780446/9022003780434,9022003780446,9022003780434,Lilla Ålbo (Uppsala),Åltomtabro (Vänge) (Uppsala),59.862742,17.35606,59.858545,17.37689,958,2,0.03333333333333333
9022003780481/9022003780194,9022003780481,9022003780194,Trångdal (Uppsala),Järnvägsövergången (Almunge) (Uppsala),59.877722,18.025313,59.877148,18.035384,957,10,0.2127659574468085
9022003780445/9022003780138,9022003780445,9022003780138,Brunnby (Gunsta) (Uppsala),Charlottendal (Uppsala),59.856268,17.804011,59.85436,17.797203,957,5,0.17857142857142858
9022003780448/9022003780445,9022003780448,9022003780445,Bärby station (Gunsta) (Uppsala),Brunnby (Gunsta) (Uppsala),59.857888,17.8138,59.856268,17.804011,950,5,0.1
9022003779075/9022003780391,9022003779075,9022003780391,Berga (Uppsala),Söderby (Danmark) (Uppsala),59.818646,17.739803,59.808306,17.756617,948,-36,-0.27692307692307694
9022003780455/9022003780195,9022003780455,9022003780195,Fjällnora vägskäl (Uppsala),Ektomt (Uppsala),59.86069,17.918188,59.859959,17.910019,945,-6,-0.17142857142857143
9022003780138/9022003780430,9022003780138,9022003780430,Charlottendal (Uppsala),Vedyxa (Uppsala),59.85436,17.797203,59.848808,17.777742,941,-12,-0.14457831325301204
9022003780454/9022003780450,9022003780454,9022003780450,Klockartorp (Uppsala),Stora Ålbo (Uppsala),59.869581,17.314457,59.864399,17.342553,941,-4,-0.05128205128205128
9022003780460/9022003780457,9022003780460,9022003780457,Ålandsdal (Uppsala),Persbo (Uppsala),59.874611,17.292882,59.871335,17.305449,941,5,0.13157894736842105
9022003780450/9022003780446,9022003780450,9022003780446,Stora Ålbo (Uppsala),Lilla Ålbo (Uppsala),59.864399,17.342553,59.862742,17.35606,941,-1,-0.027777777777777776
9022003779092/9022003779087,9022003779092,9022003779087,Österberga vägskäl (Uppsala),Kvarnbolund (Uppsala),59.847963,17.541135,59.845552,17.553071,937,27,0.48214285714285715
9022003780427/9022003780424,9022003780427,9022003780424,Ängsbacka (Vänge) (Uppsala),Västerby (Vänge) (Uppsala),59.851034,17.497629,59.848963,17.518972,937,-12,-0.16901408450704225
9022003780424/9022003780422,9022003780424,9022003780422,Västerby (Vänge) (Uppsala),Läby (Vänge) (Uppsala),59.848963,17.518972,59.848781,17.532863,937,-10,-0.18867924528301888
9022003780422/9022003779092,9022003780422,9022003779092,Läby (Vänge) (Uppsala),Österberga vägskäl (Uppsala),59.848781,17.532863,59.847963,17.541135,937,5,0.18518518518518517
9022003700336/9022003700499,9022003700336,9022003700499,Kuggebro (Uppsala),Coop/IKEA (Uppsala),59.832305,17.690761,59.846031,17.694,936,-104,-0.31212121212121213
9022003700365/9022003700366,9022003700365,9022003700366,Kardvägen (Uppsala),Nåntunaparken (Uppsala),59.813959,17.68846,59.81583,17.69386,936,10,0.2631578947368421
9022003700366/9022003700367,9022003700366,9022003700367,Nåntunaparken (Uppsala),Nämndemansvägen (Uppsala),59.81583,17.69386,59.820876,17.696998,936,13,0.12149532710280374
9022003700364/9022003700365,9022003700364,9022003700365,Vävstolsvägen (Uppsala),Kardvägen (Uppsala),59.814881,17.683645,59.813959,17.68846,936,28,0.8
9022003780444/9022003780441,9022003780444,9022003780441,Funbo kyrka (Uppsala),Källtorp (Funbo) (Uppsala),59.855112,17.858737,59.854477,17.880312,935,14,0.18666666666666668
9022003780430/9022003780138,9022003780430,9022003780138,Vedyxa (Uppsala),Charlottendal (Uppsala),59.848808,17.777742,59.85436,17.797203,935,7,0.1206896551724138
9022003780429/9022003780430,9022003780429,9022003780430,Huggsta (Uppsala),Vedyxa (Uppsala),59.844983,17.750537,59.848808,17.777742,935,19,0.2676056338028169
9022003779096/9022003780429,9022003779096,9022003780429,"Årsta vägskäl, v. 282 (Uppsala)",Huggsta (Uppsala),59.844318,17.73965,59.844983,17.750537,935,0,0
9022003780138/9022003780445,9022003780138,9022003780445,Charlottendal (Uppsala),Brunnby (Gunsta) (Uppsala),59.85436,17.797203,59.856268,17.804011,935,-4,-0.2222222222222222
9022003780448/9022003780443,9022003780448,9022003780443,Bärby station (Gunsta) (Uppsala),Gunsta (Uppsala),59.857888,17.8138,59.855467,17.831164,935,-28,-0.18543046357615894
9022003780443/9022003780444,9022003780443,9022003780444,Gunsta (Uppsala),Funbo kyrka (Uppsala),59.855467,17.831164,59.855112,17.858737,935,22,0.2972972972972973
9022003780443/9022003780448,9022003780443,9022003780448,Gunsta (Uppsala),Bärby station (Gunsta) (Uppsala),59.855467,17.831164,59.857888,17.8138,934,23,0.19672131147540983
9022003780430/9022003780429,9022003780430,9022003780429,Vedyxa (Uppsala),Huggsta (Uppsala),59.848808,17.777742,59.844983,17.750537,934,-18,-0.17894736842105263
9022003782530/9022003782046,9022003782530,9022003782046,Östhammar Energivägen,Ringvägen (Östhammar),60.248497,18.347234,60.256055,18.348759,934,-25,-0.30864197530864196
